,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
548,Mohamed Safwat,0.9957936316714584,0.00023476455960381824,0.00012452390001972067,0.003847079868918456,0
549,Murphy Cassone,0.994559248608146,0.00250137097775529,0.0011346690666395652,0.001804711347459188,0
550,N Sriram Balaji,0.9999949192573023,9.48847810823027e-23,5.03106167973135e-06,4.96810175463872e-08,0
551,Naoki Nakagawa,0.9925924972523098,0.0011517260465340937,1.499488835339743e-05,0.006240781812802875,0
552,Nattan Benjasupawan,0.9999096740009125,1.842540171909683e-26,3.5374476161833078e-09,9.032246163999166e-05,0
553,Nicholas Alan Van Aken,0.0,2.833649331748514e-85,1.5260507591194247e-13,0.9999999999998472,3
554,Nick Hardt,0.9932821533577509,6.998585654663433e-06,3.934164267016649e-06,0.006706913892327167,0
555,Nick Kyrgios,0.0,5.450187081056932e-09,0.9999958963141558,4.09823565732436e-06,2
556,Nicola Kuhn,0.9242569113718084,0.07524398755041388,0.00016147398921995256,0.00033762708855774123,0
557,Nicolai Budkov Kjaer,5.844346106836997e-81,8.336041843386904e-06,0.002994660666958645,0.9969970032911988,3
558,Nicolas Almagro,2.892786311633139e-96,0.9920567538764136,0.00029071441238036436,0.007652531711206195,1
559,Nicolas Alvarez Varona,0.0,0.0,2.486324915129239e-11,0.9999999999751363,3
560,Nicolas Devilder,0.9955266094164763,0.00023654834047403452,6.372320027853395e-05,0.0041731190427711775,0
561,Nicolas Escude,0.9487605805896501,0.051137575885016044,7.743328577829494e-05,2.441023955579357e-05,0
562,Nicolas Jarry,4.4173655306284903e-73,0.9847434047000663,0.015256356877406082,2.3842252760781856e-07,1
563,Nicolas Kiefer,0.6759457540190532,0.3235181758268816,0.0005209045575076962,1.516559655784969e-05,0
564,Nicolas Lapentti,0.9976108131759919,1.5571539733183826e-05,0.00011952029111167554,0.0022540949931633696,0
565,Nicolas Mahut,6.983104690998429e-44,9.084923758208786e-07,0.9999990915076241,6.8011149808777316e-18,2
566,Nicolas Massu,0.7604831075412894,0.23119142729494108,2.0011894447626725e-05,0.008305453269321951,0
567,Nicolas Mejia,0.0,0.001092827281707913,0.002994136587232377,0.9959130361310601,3
568,Nicolas Moreno De Alboran,0.0,5.7794629882877596e-05,0.0055169335439791975,0.9944252718261386,3
569,Nicolas Thomann,0.9988624123153521,1.7753632031112015e-05,0.0003765739680475684,0.0007432600845689765,0
570,Niels Visker,0.9998786467295095,6.387023909588058e-07,0.00010579638005746146,1.4918188042256865e-05,0
571,Nikola Cacic,0.0,4.6097617550565e-13,0.007138397532201013,0.9928616024673389,3
572,Nikola Milojevic,2.946013780142092e-11,0.007155944965565115,0.0021793421208977943,0.990664712884076,3
573,Nikolas Sanchez Izquierdo,0.9997581060770016,4.286998787796261e-07,0.0002048118645347667,3.6653358584778186e-05,0
574,Nikolay Davydenko,8.20283475645772e-05,0.9966935065903166,1.0307158003170392e-05,0.0032141579041155494,1
575,Nikoloz Basilashvili,0.7962401134432068,0.20214851932726843,0.0006370212487150658,0.0009743459808095405,0
576,Nino Serdarusic,0.9989759822285663,3.777698730957099e-09,0.00021589208477998192,0.0008081219089542841,0
577,Nishesh Basavareddy,0.006981869245301611,0.9914118375754174,2.100310941800508e-05,0.0015852900698632754,1
578,Noah Rubin,0.44105141454168845,0.5487376808279044,5.462488863798227e-05,0.010156279741769107,1
579,Norbert Gombos,0.5340161865590587,0.46011272910684303,0.005668050271379045,0.0002030340627191403,0
580,Novak Djokovic,0.017403952123701185,0.9806654852996867,8.27942593042799e-06,0.0019222831506815134,1
581,Nuno Borges,0.0011932823760129213,0.99817898889151,1.4894674045961919e-05,0.0006128340584308782,1
582,Oleksandr Ovcharenko,0.9996439077804045,7.447162953582925e-18,3.371465342521366e-09,0.0003560888481299251,0
583,Oleksii Krutykh,3.8471119389980467e-53,0.8256141156134499,0.0005763455983457831,0.173809538788204,1
584,Olivier Rochus,0.0,3.583710212401692e-06,0.9728504705965566,0.02714594569323186,2
585,Omar Jasika,0.9997295858326634,4.144061988460984e-05,0.00010149490907627475,0.0001274786383756043,0
586,Oscar Otte,0.0,0.002464076263684063,0.09039747350694222,0.9071384502293742,3
587,Otto Virtanen,0.2248927442221147,0.774588858796739,0.00026973747506728405,0.0002486595060791864,1
588,Ozan Baris,0.9999542499328661,1.2828023494234185e-16,2.7607852131454005e-08,4.5722459281380445e-05,0
589,Pablo Andujar,0.0,3.637691744954418e-15,0.022641773481521566,0.9773582265184753,3
590,Pablo Carreno Busta,0.0009928515029903231,0.9974045715061022,6.832511600850594e-06,0.001595744479306599,1
591,Pablo Cuevas,0.0,2.651786253532455e-13,0.020574624092153014,0.9794253759075815,3
592,Pablo Llamas Ruiz,0.9998352473076528,7.143078394024986e-07,0.00014013260098522034,2.3905783522438495e-05,0
593,Paolo Lorenzi,3.403203843742601e-169,0.9990323335044429,0.0006619500084632131,0.00030571648709371355,1
