player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Pavel Kotov,-0.9428329825802243,-0.4222226759558132,-0.658026840314772,-0.466278654205762,-0.4596161532918324,-0.8035918416889746,-0.2234045420250931,0.06376968487202661,0.2584280576967006,-0.7981489236241763
Pavel Tsoy,-2.6664254728424055,-2.9155207552870976,1.4790931699056515,-1.4414358598232275,-0.7933977275868851,-4.252618087292927,1.7378861069336067,-1.781285017386076,-1.688329600740584,-1.8208456831438755
Pedja Krstin,1.584852104793752,-1.0843372539700102,-0.7051601655520622,-0.25975868499364835,-0.8360212880987795,1.8242376741411948,-1.4401677737990364,-1.524467069147025,1.4661751813667456,-0.5067353308578104
Pedro Araujo,4.067305439224048,-0.2622293457210493,-0.7311098504392289,-1.4414358598232275,-0.531522722813611,0.9561154216396267,-2.4600104740505357,-0.5885237907558072,2.478460937264304,-0.4298117980410649
Pedro Cachin,0.227472292728151,0.12304069385383005,0.20520031513060294,-0.19024826294484815,-0.2688177441074048,0.6248582478621896,-0.9663176582300009,-0.14271280582825763,0.8013936718098399,-0.16932861878436098
Pedro Martinez,0.20116354756019744,-0.08075941595220182,-0.6679065426569685,-0.7350338021427356,-0.13210971927990037,0.3983832466831138,0.16311292385827705,-0.11018841032761545,-0.14121421013358407,-0.11639537954206883
Pedro Sousa,1.6270116519319286,-0.15683089594554106,0.9479874069656345,-0.9181216823987004,-0.6777734627199773,1.8242376741411948,-0.38255312168636924,-0.06142126175831815,0.3799006599611078,-0.19134884630915466
Pete Sampras,-0.12759522688928984,1.8457757266160062,-0.5839769057547699,1.4456959247384409,2.316958964481426,0.02727106300915767,-2.296755768633761,3.471852185684793,2.3164159347988273,1.5432768187084513
Peter Bertran,-1.6747465660473957,-0.7585359699804043,2.548443400416093,-0.10124101519943639,0.12082794141052489,-0.8765871060175905,0.6230950234071129,-1.1310254312723846,-0.5817990207038962,-0.6400508738433531
Peter Fajta,-1.8773721687243314,0.29829877353960793,-0.19685163217404442,0.507074375268101,-0.472626299714712,-0.201380910977894,0.02612701320494239,0.20667613750139247,0.010745509256596732,0.2862622955217119
Peter Gojowczyk,0.19194179861388966,0.009815137834986474,1.1209853062134083,0.5748093776467114,-0.4413420602263634,-0.6933168538595542,0.27973403425529075,-0.30688027338455864,-0.25338569609777595,-0.35403183656597614
