,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
204,Eduardo Russi,0,1,0,0.999997187622466,8.928622837432183e-26,2.812377533812734e-06,2.704367646281086e-16
205,Eduardo Struvay,2,0,2,0.0009673546780148,1.915175059290127e-22,0.9990326453219855,1.1536202967229392e-33
206,Egor Gerasimov,1,0,1,0.1179017399060714,0.8820132543524382,4.9640470691721547e-05,3.536527079860195e-05
207,Elias Ymer,0,0,3,0.0,5.07565050278844e-11,0.0076225609864464,0.9923774389627968
208,Eliot Spizzirri,0,0,1,0.329122037545966,0.670516722738709,2.345213003660515e-05,0.0003377875852886
209,Elliot Benchetrit,1,0,0,0.9986347529293262,8.956807123431446e-05,0.0008777082948275,0.0003979707046115
210,Elmer Moller,0,0,0,0.9955898931158982,0.000267574174073,0.0005826973032581,0.0035598354067707
211,Emil Ruusuvuori,0,0,1,0.0332825061974023,0.9627734156329631,3.1443032276628294e-05,0.0039126351373579
212,Emilio Gomez,0,0,0,0.9978087544284444,0.0005909920042915,1.7895079012596434e-05,0.0015823584882516
213,Emilio Nava,1,2,1,1.1857388547375078e-69,0.9978620195934144,0.0011069052659276,0.0010310751406579
214,Enzo Couacaud,0,0,1,0.4994158802733184,0.4998827613079194,8.203824480663937e-05,0.0006193201739553
215,Ergi Kirkin,0,0,3,0.0,5.474170792724637e-181,4.02448489104432e-08,0.9999999597551515
216,Ernesto Escobedo,0,2,0,0.999989545717002,9.596475131469891e-21,4.902933861930013e-06,5.551349137191324e-06
217,Ernests Gulbis,0,2,1,3.1569346553255294e-23,0.997319375479781,0.0008638720259576,0.0018167524942617
218,Ethan Quinn,1,0,1,7.548718716878485e-36,0.9975563587868754,0.0002848170533372,0.0021588241597874
219,Evan Furness,3,2,0,0.9998647558553736,1.28243502034113e-19,1.6058342274902724e-05,0.0001191858023518
220,Evan King,3,0,0,0.9846979723269234,0.0112457883621412,9.639280834483572e-05,0.0039598465025905
221,Evan Zhu,0,0,0,0.9996989002616083,2.8657448115379777e-13,1.248713060937525e-05,0.0002886126074957
222,Evgeny Donskoy,1,2,0,0.979504270811013,0.0126389946004837,4.4901697709824285e-05,0.0078118328907935
223,Evgeny Korolev,3,1,0,0.9999948861778216,6.88124885477114e-34,4.30876300218888e-18,5.113822178528215e-06
224,Fabian Marozsan,1,2,1,2.1570565889307574e-07,0.9995560628640532,0.0003378358076795,0.0001058856226085
225,Fabio Fognini,1,0,1,0.0065059395906849,0.9767529632043342,0.0001396598021246,0.0166014374028564
226,Fabrice Santoro,1,0,1,1.4679174917075796e-45,0.8421373793309189,0.157862567741602,5.29274794680342e-08
227,Facundo Arguello,3,0,0,0.9996327147216708,2.1759989052236323e-19,4.124543007188228e-07,0.0003668728240287
228,Facundo Bagnis,3,0,1,8.21972587834726e-10,0.9406899301144956,0.0020984678753648,0.0572116011881671
229,Facundo Diaz Acosta,3,2,3,2.004443354383293e-142,0.0322157759637415,0.0394161016559043,0.9283681223803548
230,Facundo Mena,0,0,0,0.9999984073357188,8.705238655201027e-23,2.695638538481888e-07,1.3231004272678537e-06
231,Farrukh Dustov,0,0,3,2.2760511174345375e-203,0.0002677501385473,0.1697869718880873,0.8299452779733658
232,Federico Agustin Gomez,1,2,0,0.999208766456844,9.11652776289726e-18,0.0007859986983857,5.234844770506738e-06
233,Federico Arnaboldi,1,0,3,0.0,5.6976492620900246e-264,2.106623563291433e-07,0.999999789337644
234,Federico Cina,1,0,0,0.9972438881102752,0.0001221255632454,0.0005004614577707,0.002133524868708
235,Federico Coria,3,0,1,6.4125030591604386e-136,0.705526926583769,0.0031708737124888,0.2913021997037417
236,Federico Delbonis,3,0,1,0.0160301900838281,0.9765110266780684,3.730732949281948e-05,0.0074214759086106
237,Federico Gaio,1,0,1,7.453382224825955e-213,0.7755957686010577,0.0135069108632445,0.2108973205356982
238,Federico Luzzi,0,2,0,0.9984051019203808,1.6762026001634273e-05,1.4905503534348256e-06,0.001576645503264
239,Feliciano Lopez,1,2,1,0.0002985714474139,0.8912146378316791,0.1084867331234218,5.759748488557019e-08
