,player,Kmeans_cluster
669,Sanam Singh,0
670,Sandro Ehrat,0
671,Sanjar Fayziev,0
672,Santiago Giraldo,0
673,Sargis Sargsian,0
674,Sascha Gueymard Wayenburg,0
675,Scott Griekspoor,3
676,Scoville Jenkins,1
677,Sebastian Baez,3
678,Sebastian Fanselow,2
679,Sebastian Korda,1
680,Sebastian Ofner,1
681,Sebastien Grosjean,1
682,Seong Chan Hong,3
683,Sergey Fomin,0
684,Sergiy Stakhovsky,2
685,Shintaro Mochizuki,1
686,Sho Katayama,1
687,Sho Shimabukuro,0
688,Simone Bolelli,3
689,Sjeng Schalken,0
690,Somdev Devvarman,3
691,Soon Woo Kwon,1
692,Stan Wawrinka,1
693,Stefan Edberg,0
694,Stefan Koubek,3
695,Stefan Kozlov,3
696,Stefano Napolitano,2
697,Stefano Travaglia,0
698,Stefanos Sakellaridis,1
699,Stefanos Tsitsipas,1
700,Stephane Robert,0
701,Steve Darcis,0
702,Steve Johnson,1
703,Steven Diez,0
704,Strong Kirchheimer,3
705,Sumit Nagal,3
706,Takao Suzuki,2
707,Tallon Griekspoor,1
708,Taro Daniel,0
709,Taylor Dent,2
710,Taylor Fritz,1
711,Tennys Sandgren,1
712,Teymuraz Gabashvili,1
713,Thai Son Kwiatkowski,3
714,Thanasi Kokkinakis,1
715,Thiago Agustin Tirante,3
716,Thiago Monteiro,1
717,Thiago Seyboth Wild,1
718,Thiemo De Bakker,1
719,Thijs Boogaard,0
720,Thomas Enqvist,1
721,Thomas Fabbiano,3
722,Thomas Johansson,1
723,Thomas Muster,3
724,Thomaz Bellucci,3
725,Ti Chen,1
726,Tim Henman,1
727,Tim Smyczek,3
728,Tim Van Rijthoven,1
729,Timofey Skatov,3
730,Titouan Droguet,0
731,Tobias Kamke,1
732,Todd Martin,2
733,Todd Reid,3
734,Tomas Barrios Vera,0
735,Tomas Behrend,0
736,Tomas Berdych,1
737,Tomas Machac,1
738,Tomas Martin Etcheverry,3
739,Tomas Zib,0
740,Tomasz Berkieta,1
741,Tommy Haas,0
742,Tommy Paul,1
743,Tommy Robredo,3
744,Tristan Schoolkate,1
745,Tsung Hua Yang,3
746,Tung Lin Wu,1
747,Ty Trombetta,0
748,Ugo Blanchet,3
749,Ugo Humbert,1
750,Uladzimir Ignatik,0
751,Ulises Blanch,2
752,Vaclav Safranek,3
753,Valentin Royer,1
754,Valentin Vacherot,1
755,Vasek Pospisil,1
756,Victor Estrella,3
757,Victor Hanescu,0
758,Viktor Durasovic,3
759,Viktor Troicki,0
760,Vilius Gaubas,3
761,Vincent Millot,3
762,Vincent Spadea,0
763,Vincenzo Santopadre,1
764,Vit Kopriva,0
765,Vladimir Ivanov,1
766,Vladimir Voltchkov,2
767,Wayne Arthurs,2
768,Wayne Ferreira,0
769,Wayne Odesnik,0
770,Werner Eschauer,0
771,Wesley Moodie,2
772,Xavier Malisse,1
773,Yannick Hanfmann,1
774,Yannick Maden,0
775,Yannick Mertens,0
776,Yasutaka Uchiyama,1
777,Yen Hsun Lu,0
778,Yevgeny Kafelnikov,0
779,Yibing Wu,1
780,Yoshihito Nishioka,3
781,Yosuke Watanuki,1
782,Younes El Aynaoui,1
783,Younes Lalami Laaroussi,1
784,Yu Hsiou Hsu,3
785,Yuichi Ito,3
786,Yuichi Sugita,0
787,Yuki Bhambri,1
788,Zachary Svajda,0
789,Zdenek Kolar,1
790,Ze Zhang,1
791,Zeljko Krajan,0
792,Zhe Li,0
793,Zhizhen Zhang,1
794,Zizou Bergs,1
795,Zsombor Piros,1
