player,net_frequency,net_winner_rate,net_unforced_rate,net_forced_rate,net_points_won_ratio
Andrei Medvedev,0.047209026,0.421383648,0.125786164,0.100628931,0.698113208
Andrei Pavel,0.073302469,0.452631579,0.063157895,0.094736842,0.810526316
Andrei Stoliarov,0.060518732,0.285714286,0.19047619,0.19047619,0.761904762
Andrej Martin,0.050793651,0.4375,0.03125,0.125,0.75
Andres Artunedo,0.013605442,1,0,0,1
Andres Gomez,0.087179487,0.437908497,0.098039216,0.052287582,0.660130719
Andrew Castle,0.369565217,0.270588235,0.141176471,0.152941176,0.658823529
Andrew Foster,0.440677966,0.25,0.230769231,0.173076923,0.576923077
Andrew Harris,0.038043478,0.428571429,0.142857143,0.142857143,0.571428571
Andrey Golubev,0.040792541,0.542857143,0.085714286,0.057142857,0.742857143
Andrey Kuznetsov,0.035168196,0.434782609,0.043478261,0.130434783,0.695652174
Andrey Rublev,0.026501509,0.466483012,0.1184573,0.105601469,0.737373737
Andy Murray,0.030610592,0.475992439,0.085444234,0.106994329,0.742155009
Andy Roddick,0.053245995,0.376979294,0.080998782,0.128501827,0.671741778
Ante Pavic,0.109375,0.333333333,0.095238095,0.238095238,0.714285714
Antoine Bellier,0.389937107,0.35483871,0.032258065,0.177419355,0.758064516
Antoine Escoffier,0.064139942,0.590909091,0.090909091,0.136363636,0.909090909
Antoine Hoang,0.00625,1,0,0,1
Antonio Veic,0.014084507,0,0.5,0,0
Aristotelis Thanos,0.078947368,0.222222222,0.333333333,0.111111111,0.444444444
Arklon Huertas Del Pino,0.018099548,0.5,0,0.125,0.75
Arnaud Boetsch,0.083217753,0.333333333,0.083333333,0.1,0.616666667
Arnaud Clement,0.053467001,0.4375,0.0703125,0.08203125,0.69140625
Arnaud Di Pasquale,0.028248588,0.6,0.2,0,0.8
Arthur Ashe,0.375670841,0.228571429,0.185714286,0.138095238,0.60952381
Arthur Cazaux,0.039503904,0.488372093,0.11627907,0.127906977,0.697674419
Arthur Fery,0.165254237,0.333333333,0.025641026,0.128205128,0.538461538
Arthur Fils,0.034413295,0.573170732,0.143902439,0.06097561,0.758536585
Arthur Rinderknech,0.080196399,0.453061224,0.13877551,0.081632653,0.67755102
Aslan Karatsev,0.043335162,0.487341772,0.132911392,0.094936709,0.768987342
Attila Balazs,0.013888889,0.666666667,0.083333333,0.083333333,0.75
Axel Michon,0.03875969,0.4,0,0,0.8
