player,winners_per_point,forced_per_point,unforced_per_point
Dennis Novikov,0.42857142857142855,0.25,0.32142857142857145
Derrick Rostagno,0.4041095890410959,0.2328767123287671,0.363013698630137
Devin Britton,0.3181818181818182,0.09090909090909091,0.5909090909090909
Diego Hartfield,0.24358974358974358,0.20512820512820512,0.5512820512820513
Diego Schwartzman,0.29988726042841035,0.21420518602029312,0.48515595640736564
Dimitar Kuzmanov,0.25,0.34375,0.40625
Dino Prizmic,0.24271844660194175,0.34951456310679613,0.4077669902912621
Dmitry Popko,0.20476190476190476,0.2904761904761905,0.5047619047619047
Dmitry Tursunov,0.4128787878787879,0.20075757575757575,0.38636363636363635
Dominic Stricker,0.40625,0.203125,0.390625
Dominic Thiem,0.33221912720519964,0.22404828226555246,0.44271123491179204
Dominik Hrbaty,0.25766871165644173,0.2085889570552147,0.5337423312883436
Dominik Koepfer,0.3206751054852321,0.22644163150492264,0.4542897327707454
Donald Young,0.2639593908629442,0.2233502538071066,0.5126903553299492
Dragos Dima,0.35294117647058826,0.2647058823529412,0.38235294117647056
Duck Hee Lee,0.075,0.275,0.65
Dudi Sela,0.3333333333333333,0.3047619047619048,0.3619047619047619
Duje Ajdukovic,0.3188405797101449,0.21739130434782608,0.463768115942029
Dusan Lajovic,0.29408630793819923,0.21523708044752266,0.48907831646244004
Dustin Brown,0.42951541850220265,0.23237885462555066,0.3370044052863436
Dylan Dietrich,0.3559322033898305,0.13559322033898305,0.5084745762711864
Dzmitry Zhyrmont,0.1323529411764706,0.1323529411764706,0.7352941176470589
Eddie Dibbs,0.15789473684210525,0.10526315789473684,0.7368421052631579
Edouard Roger Vasselin,0.33516483516483514,0.23626373626373626,0.42857142857142855
Eduardo Masso,0.4189189189189189,0.24324324324324326,0.33783783783783783
Eduardo Russi,0.18518518518518517,0.1111111111111111,0.7037037037037037
Eduardo Struvay,0.3125,0.21875,0.46875
Egor Gerasimov,0.3327702702702703,0.22466216216216217,0.44256756756756754
Elias Ymer,0.24666666666666667,0.15333333333333332,0.6
Eliot Spizzirri,0.23863636363636365,0.3068181818181818,0.45454545454545453
Elliot Benchetrit,0.341991341991342,0.14285714285714285,0.5151515151515151
Elmer Moller,0.27988338192419826,0.20699708454810495,0.5131195335276968
Emil Ruusuvuori,0.26163793103448274,0.22758620689655173,0.5103448275862069
Emilio Gomez,0.3333333333333333,0.21875,0.4479166666666667
Emilio Nava,0.3398328690807799,0.17548746518105848,0.4818941504178273
Emilio Sanchez,0.4618834080717489,0.22869955156950672,0.30493273542600896
Enzo Couacaud,0.2803030303030303,0.21212121212121213,0.5075757575757576
Ergi Kirkin,0.27450980392156865,0.1568627450980392,0.5686274509803921
Ernesto Escobedo,0.3611111111111111,0.3611111111111111,0.2777777777777778
Ernests Gulbis,0.296875,0.1923828125,0.5107421875
Ethan Quinn,0.35714285714285715,0.21428571428571427,0.42857142857142855
Evan Furness,0.40540540540540543,0.2972972972972973,0.2972972972972973
Evan King,0.15942028985507245,0.42028985507246375,0.42028985507246375
Evan Zhu,0.10416666666666667,0.25,0.6458333333333334
Evgeny Donskoy,0.35390946502057613,0.3004115226337449,0.345679012345679
Evgeny Korolev,0.19444444444444445,0.3055555555555556,0.5
Fabian Marozsan,0.3687392055267703,0.21934369602763384,0.4119170984455959
Fabio Fognini,0.3160207750699161,0.18777467039552537,0.4954055133839393
Fabrice Santoro,0.3355408388520971,0.3554083885209713,0.3068432671081678
Facundo Arguello,0.21739130434782608,0.13043478260869565,0.6521739130434783
Facundo Bagnis,0.2473404255319149,0.23138297872340424,0.5212765957446809
Facundo Diaz Acosta,0.39285714285714285,0.19642857142857142,0.4107142857142857
Facundo Mena,0.1896551724137931,0.1206896551724138,0.6896551724137931
Farrukh Dustov,0.2289156626506024,0.18072289156626506,0.5903614457831325
Federico Agustin Gomez,0.4186046511627907,0.3023255813953488,0.27906976744186046
Federico Arnaboldi,0.30612244897959184,0.1836734693877551,0.5102040816326531
Federico Cina,0.3620689655172414,0.2471264367816092,0.39080459770114945
Federico Coria,0.22429906542056074,0.2570093457943925,0.514018691588785
Federico Delbonis,0.2977867203219316,0.2193158953722334,0.482897384305835
Federico Gaio,0.35353535353535354,0.21212121212121213,0.43434343434343436
Federico Luzzi,0.34146341463414637,0.2682926829268293,0.3902439024390244
Feliciano Lopez,0.2888229475766568,0.22255192878338279,0.48829541707879986
Felix Auger Aliassime,0.30885311871227367,0.2283702213279678,0.4621730382293763
Felix Mantilla,0.3605769230769231,0.2692307692307692,0.3701923076923077
Fernando Gonzalez,0.3874955845990816,0.21829742140586364,0.3938537619215825
Fernando Meligeni,0.4166666666666667,0.3541666666666667,0.22916666666666666
Fernando Romboli,0.16,0.24,0.6
Fernando Verdasco,0.3173043173043173,0.21375921375921375,0.4668304668304668
Fernon Wibier,0.41304347826086957,0.21739130434782608,0.3695652173913043
Filip Bergevi,0.2962962962962963,0.25925925925925924,0.4444444444444444
Filip Cristian Jianu,0.2777777777777778,0.16666666666666666,0.5555555555555556
Filip Dewulf,0.3148148148148148,0.23148148148148148,0.4537037037037037
Filip Horansky,0.375,0.1,0.525
Filip Krajinovic,0.37364620938628157,0.18050541516245489,0.44494584837545126
Filip Misolic,0.3835125448028674,0.24731182795698925,0.36917562724014336
Filippo Volandri,0.284,0.276,0.44
Fitriadi M Rifqi,0.5909090909090909,0.2727272727272727,0.13636363636363635
Flavio Cobolli,0.2956926658905704,0.20721769499417927,0.4947613504074505
Flavio Saretta,0.30337078651685395,0.3146067415730337,0.38202247191011235
Florent Serra,0.29508196721311475,0.16393442622950818,0.5409836065573771
Florian Mayer,0.2801047120418848,0.27486910994764396,0.4397905759162304
Frances Tiafoe,0.3020251396648045,0.25523743016759776,0.44238826815642457
Francesco Maestrelli,0.3918918918918919,0.20270270270270271,0.40540540540540543
Francesco Passaro,0.28859060402684567,0.1342281879194631,0.5637583892617449
Francisco Cerundolo,0.32755842062852536,0.20145044319097502,0.4709911361804996
Francisco Clavet,0.24390243902439024,0.2926829268292683,0.4634146341463415
Francisco Comesana,0.2982456140350877,0.26900584795321636,0.4327485380116959
Francisco Llanes,0.17647058823529413,0.11764705882352941,0.7058823529411765
Franco Skugor,0.34375,0.0625,0.59375
Franco Squillari,0.2919254658385093,0.2608695652173913,0.4472049689440994
Frank Dancevic,0.42528735632183906,0.2413793103448276,0.3218390804597701
Gabriel Decamps,0.20930232558139536,0.3488372093023256,0.4418604651162791
Gabriel Diallo,0.3163716814159292,0.19247787610619468,0.4911504424778761
