player_name,rating,last_match
Bjorn Phau,1571.3146184120044,2014-02-10
Raemon Sluiter,1571.0964268451876,2009-06-14
Jason Kubler,1571.0252851535083,2024-01-15
Wayne Black,1570.886791769601,2005-09-23
Lloyd Harris,1570.8055283346816,2024-07-01
Andrea Vavassori,1570.5824025241668,2024-07-29
Steve Johnson,1570.5617608647913,2024-02-05
Matthew Ebden,1569.9749418829938,2024-07-29
Yong Kyu Lim,1569.8338081956551,2016-07-15
Hicham Arazi,1569.35907782852,2005-04-04
Ivan Dodig,1569.1258518637273,2017-07-17
Ruben Gonzales,1569.0520972439026,2017-02-03
Ivan Sergeyev,1568.562674150962,2010-03-05
Albert Costa,1568.485029223282,2006-04-24
Ben Qiang Zhu,1568.3634622461984,2004-09-27
Robby Ginepri,1568.2074036647757,2014-08-17
Hee Seok Chung,1568.18203852313,2006-02-10
Guido Pella,1568.0716704982112,2023-08-28
Jimmy Wang,1567.7604728498961,2015-09-18
Aljaz Bedene,1567.5780980899085,2022-09-16
Janko Tipsarevic,1567.1720000122095,2019-10-14
Bassam Beidas,1566.9345161431115,2013-04-05
Sam Querrey,1566.4806615015434,2022-08-29
Jonas Bjorkman,1566.288038631158,2008-10-06
Fernando Meligeni,1565.458922058794,2003-04-21
Marius Copil,1565.3623703910046,2024-02-03
Gregoire Barrere,1565.34270553894,2024-11-04
Nicolas Lapentti,1564.4939321776155,2010-05-24
Benjamin Hassan,1564.2265025192703,2024-10-14
Tommy Robredo,1564.2175534138041,2022-04-18
Pavol Cervenak,1561.919027776738,2012-07-22
Matthew Barton,1561.7739423083249,2017-01-09
Grega Zemlja,1561.675628806834,2017-04-07
Wing Luen Wong,1560.7288797412896,2007-02-09
Antony Dupuis,1560.67798114038,2007-07-09
Liam Broady,1560.6455739149426,2024-07-01
Guillaume Rufin,1560.1948829309317,2013-08-26
Cedrik Marcel Stebe,1559.9574185061592,2022-02-07
Jose De Armas,1559.8100277236435,2010-09-17
Potito Starace,1559.6910765484731,2014-05-26
Eduardo Schwank,1559.565354360636,2012-07-09
Nam Hoang Ly,1559.2291790372117,2024-02-02
Pablo Cuevas,1559.2274730738366,2022-05-23
Facundo Diaz Acosta,1558.8614670772438,2024-10-14
Filip Misolic,1556.896329036578,2024-07-22
Donald Young,1556.8517901491537,2021-01-04
Martin Alund,1556.8063721931169,2014-02-10
G D Jones,1555.9995564410435,2009-07-10
Daniel Garza,1555.2578761026882,2015-03-06
Joao Domingues,1554.4834445560475,2020-02-17
Dominic Thiem,1554.4339884705698,2024-10-21
Michael Quintero,1554.2392699551658,2007-09-21
Franco Agamenone,1554.203671057379,2022-07-25
Thiemo De Bakker,1553.8490337699686,2019-06-10
Francisco Rodriguez,1553.4963248817846,2006-04-07
Juan Ignacio Chela,1553.2503625550253,2012-06-25
Peter Wessels,1553.0374303194883,2007-10-07
Lamine Ouahab,1552.8607735780256,2020-03-06
Martin Klizan,1552.5991991426554,2020-11-09
Daniel King Turner,1552.256219406642,2013-04-05
Olivier Rochus,1551.8527221521647,2013-06-24
Thiago Agustin Tirante,1551.6173668396168,2024-10-14
Ryan Russell,1551.399034900477,2007-04-06
Sergio Galdos,1551.2206841285188,2014-01-31
Daniel Brands,1550.9333949890688,2019-02-04
Sergiy Stakhovsky,1550.5110113545086,2021-11-26
Jurij Rodionov,1550.2570107690228,2024-09-13
Mariano Navone,1549.9059526783115,2024-11-04
Diego Nargiso,1549.83746217733,2000-11-20
Jonas Forejtek,1549.5569141903375,2020-11-09
Magnus Larsson,1549.441553822117,2003-02-24
Stefan Koubek,1548.9719836080335,2011-03-04
Jhonson Garcia,1548.5748996783382,2011-07-08
Blaise Bicknell,1548.5721677449185,2024-02-03
Sam Groth,1548.4030853582701,2017-07-17
Rajeev Ram,1548.2926280277818,2017-07-17
Izak Van Der Merwe,1548.0262057006812,2012-09-14
Tung Lin Wu,1547.9970875689066,2024-09-14
Bing Chao Lin,1547.8414405756082,2000-04-07
Michael Brown B395,1547.5147806493082,2004-04-09
Guillermo Garcia Lopez,1547.4514789796406,2019-08-26
Romain Arneodo,1547.450665189853,2024-09-14
Radu Albot,1547.3842166759973,2024-08-26
Luciano Darderi,1547.0387027994032,2024-11-04
Ryan Peniston,1547.0283007440746,2023-07-03
Lukasz Kubot,1546.941570154564,2015-10-11
