date,surface,winner_id,loser_id,winner_name,loser_name,predicted_win_prob,actual_winner,r_w_global_before,r_l_global_before,r_w_global_after,r_l_global_after,r_w_surface_before,r_l_surface_before
2000-01-03,Hard,101962,102025,Younes El Aynaoui,Mikael Tillstrom,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0
2000-01-03,Hard,102783,103018,Rainer Schuettler,Max Mirnyi,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0
2000-01-03,Hard,102148,103017,Fabrice Santoro,Nicolas Kiefer,0.5,1,1548.0,1548.0,1564.0,1532.0,1548.0,1548.0
2000-01-03,Hard,102783,101962,Rainer Schuettler,Younes El Aynaoui,0.5,1,1548.0,1548.0,1564.0,1532.0,1548.0,1548.0
2000-01-03,Hard,102148,102783,Fabrice Santoro,Rainer Schuettler,0.5,1,1564.0,1564.0,1580.0,1548.0,1564.0,1564.0
2000-01-03,Hard,103420,102338,Michal Tabara,Yevgeny Kafelnikov,0.4770391073008154,1,1484.0339081301693,1500.0,1500.768656696543,1483.2652514336262,1484.0339081301693,1500.0
2000-01-10,Hard,103720,102437,Lleyton Hewitt,Adrian Voinea,0.6291136240437025,1,1575.7952839915395,1484.0,1587.663648022141,1472.1316359693985,1575.7952839915395,1484.0
2000-01-10,Hard,101792,101185,Slava Dosedel,Mark Woodforde,0.521099810429659,1,1500.768656696543,1486.0982942088476,1516.093462762794,1470.7734881425968,1500.768656696543,1486.0982942088476
2000-01-10,Hard,102776,102610,Andrew Ilie,Albert Costa,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0
2000-01-10,Hard,102344,210013,Karol Kucera,Martin Damm Sr,0.45416810646832323,1,1500.0,1531.9369101316397,1517.4666205930137,1514.470289538626,1500.0,1531.9369101316397
2000-01-10,Hard,103096,103151,Arnaud Clement,Mariano Zabaleta,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0
2000-01-10,Hard,103103,102061,Dominik Hrbaty,Kevin Ullyett,0.4770855639695747,1,1484.0662576109798,1500.0,1500.7995195639535,1483.2667380470264,1484.0662576109798,1500.0
2000-01-10,Hard,101774,102446,Todd Martin,Andrei Medvedev,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-10,Hard,102271,102456,Hicham Arazi,Felix Mantilla,0.5,1,1484.0,1484.0,1500.0,1468.0,1484.0,1484.0
2000-01-10,Hard,101727,102831,Jason Stoltenberg,Jacobo Diaz,0.5478797505939773,1,1517.3725163550669,1484.0,1531.8403643360596,1469.5321520190073,1517.3725163550669,1484.0
2000-01-10,Hard,102905,101897,Stefan Koubek,Fernando Meligeni,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-10,Hard,103344,103498,Ivan Ljubicic,Marat Safin,0.475935368066545,1,1483.2652514336262,1500.0,1500.0353196554968,1483.2299317781294,1483.2652514336262,1500.0
2000-01-10,Hard,102374,101611,Alex Corretja,Cedric Pioline,0.4549905902859683,1,1500.0,1531.3606341927405,1517.440301110849,1513.9203330818914,1500.0,1531.3606341927405
2000-01-10,Hard,102437,102434,Adrian Voinea,Vincent Spadea,0.48292231484667675,1,1472.1316359693985,1484.0030448405485,1488.678121894305,1467.456558915642,1472.1316359693985,1484.0030448405485
2000-01-10,Hard,101888,103444,Daniel Vacek,Jean Rene Lisnard,0.4999977629650581,1,1500.0,1500.0015544510898,1516.0000715851181,1484.0014828659716,1500.0,1500.0015544510898
2000-01-10,Hard,102374,101792,Alex Corretja,Slava Dosedel,0.5019382464804234,1,1517.440301110849,1516.093462762794,1533.3782772234756,1500.1554866501674,1517.440301110849,1516.093462762794
2000-01-10,Hard,101727,103103,Jason Stoltenberg,Dominik Hrbaty,0.5445528873391756,1,1531.8403643360596,1500.7995195639535,1546.414671941206,1486.225211958807,1531.8403643360596,1500.7995195639535
2000-01-10,Hard,101727,102839,Jason Stoltenberg,Nicolas Lapentti,0.5664015317546119,1,1546.414671941206,1500.0,1560.2898229250584,1486.1248490161477,1546.414671941206,1500.0
2000-01-10,Hard,103720,102374,Lleyton Hewitt,Alex Corretja,0.5774933434272322,1,1587.663648022141,1533.3782772234756,1601.1838610324694,1519.8580642131471,1587.663648022141,1533.3782772234756
2000-01-10,Hard,101727,103344,Jason Stoltenberg,Ivan Ljubicic,0.585854184257321,1,1560.2898229250584,1500.0353196554968,1573.542489028824,1486.782653551731,1560.2898229250584,1500.0353196554968
2000-01-10,Hard,103720,101727,Lleyton Hewitt,Jason Stoltenberg,0.5396954163301447,1,1601.1838610324694,1573.542489028824,1615.9136077099047,1558.8127423513888,1601.1838610324694,1573.542489028824
2000-01-10,Hard,103344,101774,Ivan Ljubicic,Todd Martin,0.45805169593506,1,1486.782653551731,1516.0,1504.124999281809,1498.657654269922,1486.782653551731,1516.0
2000-01-10,Hard,102344,103096,Karol Kucera,Arnaud Clement,0.5240582645707337,1,1517.4666205930137,1500.736306793522,1532.6967561267502,1485.5061712597856,1517.4666205930137,1500.736306793522
2000-01-10,Hard,101792,102776,Slava Dosedel,Andrew Ilie,0.49916413340129,1,1500.1554866501674,1500.736306793522,1516.1822343813262,1484.7095590623633,1500.1554866501674,1500.736306793522
2000-01-10,Hard,102374,102271,Alex Corretja,Hicham Arazi,0.5285469724720403,1,1519.8580642131471,1500.0,1534.9445610940418,1484.9135031191054,1519.8580642131471,1500.0
2000-01-10,Hard,102437,101888,Adrian Voinea,Daniel Vacek,0.46076140518959974,1,1488.678121894305,1516.0000715851181,1505.9337569282377,1498.7444365511853,1488.678121894305,1516.0000715851181
2000-01-10,Hard,103720,101532,Lleyton Hewitt,Francisco Clavet,0.660887644556492,1,1615.9136077099047,1500.0,1626.765203084097,1489.1484046258076,1615.9136077099047,1500.0
2000-01-10,Hard,102839,101962,Nicolas Lapentti,Younes El Aynaoui,0.4343613643506358,1,1486.1248490161477,1532.0,1504.2252853569273,1513.8995636592203,1486.1248490161477,1532.0
2000-01-10,Hard,101532,102856,Francisco Clavet,Gustavo Kuerten,0.48438837509226457,1,1489.1484046258076,1500.0,1505.6479766228551,1483.5004280029525,1489.1484046258076,1500.0
2000-01-10,Hard,103720,103206,Lleyton Hewitt,Sebastien Grosjean,0.6523804700990324,1,1626.765203084097,1517.4064897066457,1637.889028040928,1506.2826647498148,1626.765203084097,1517.4064897066457
2000-01-10,Hard,102839,102905,Nicolas Lapentti,Stefan Koubek,0.4830613080086318,1,1504.2252853569273,1516.0,1520.7673235006512,1499.4579618562761,1504.2252853569273,1516.0
2000-01-10,Hard,103344,102344,Ivan Ljubicic,Karol Kucera,0.45897437738849295,1,1504.124999281809,1532.6967561267502,1521.4378192053773,1515.383936203182,1504.124999281809,1532.6967561267502
2000-01-10,Hard,103163,101543,Tommy Haas,Jeff Tarango,0.5230095872975623,1,1500.0,1484.0,1515.263693206478,1468.736306793522,1500.0,1484.0
2000-01-10,Hard,103292,102854,Gaston Gaudio,Sjeng Schalken,0.4769904127024377,1,1500.0,1516.0,1516.736306793522,1499.263693206478,1500.0,1516.0
2000-01-10,Hard,102796,102021,Magnus Norman,Michael Chang,0.5477417762236882,1,1533.2757572273736,1500.0,1547.7480203882155,1485.527736839158,1533.2757572273736,1500.0
2000-01-10,Hard,102796,103292,Magnus Norman,Gaston Gaudio,0.5445112967571994,1,1547.7480203882155,1516.736306793522,1562.3236588919851,1502.1606682897525,1547.7480203882155,1516.736306793522
2000-01-10,Hard,102021,102607,Michael Chang,Juan Balcells,0.502196333677902,1,1485.527736839158,1484.0015580681968,1501.4574541614652,1468.0718407458896,1485.527736839158,1484.0015580681968
2000-01-10,Hard,102796,101820,Magnus Norman,Marc Rosset,0.5887411567790608,1,1562.3236588919851,1500.0,1575.4839418750553,1486.8397170169299,1562.3236588919851,1500.0
2000-01-10,Hard,102021,101320,Michael Chang,Magnus Gustafsson,0.5020974328382944,1,1501.4574541614652,1500.0,1517.3903363106397,1484.0671178508255,1501.4574541614652,1500.0
2000-01-10,Hard,102607,103507,Juan Balcells,Juan Carlos Ferrero,0.45418059420830087,1,1468.0718407458896,1500.0,1485.538061731224,1482.5337790146657,1468.0718407458896,1500.0
2000-01-10,Hard,102796,102998,Magnus Norman,Jan Michael Gambill,0.6079189951081213,1,1575.4839418750553,1499.2959774658789,1588.0305340315954,1486.7493853093388,1575.4839418750553,1499.2959774658789
2000-01-10,Hard,101820,102770,Marc Rosset,John Van Lottum,0.48106988294465447,1,1486.8397170169299,1500.0,1503.445480762701,1483.3942362542289,1486.8397170169299,1500.0
2000-01-10,Hard,103292,102562,Gaston Gaudio,Jiri Novak,0.5261115261043912,1,1502.1606682897525,1484.0,1517.3250994544119,1468.8355688353406,1502.1606682897525,1484.0
2000-01-10,Hard,102854,102494,Sjeng Schalken,Tomas Behrend,0.49995130087086564,1,1499.263693206478,1499.2975328274754,1515.26525157861,1483.2959744553432,1499.263693206478,1499.2975328274754
2000-01-10,Hard,102021,102103,Michael Chang,Michael Sell,0.5250058264740455,1,1517.3903363106397,1500.0,1532.5901498634703,1484.8001864471694,1517.3903363106397,1500.0
2000-01-10,Hard,103507,103252,Juan Carlos Ferrero,Alberto Martin,0.45189670680687277,1,1482.5337790146657,1516.0630730326734,1500.0730843968458,1498.5237676504933,1482.5337790146657,1516.0630730326734
2000-01-10,Hard,102607,103163,Juan Balcells,Tommy Haas,0.457325453268312,1,1485.538061731224,1515.263693206478,1502.903647226638,1497.8981077110639,1485.538061731224,1515.263693206478
2000-01-10,Hard,102796,102239,Magnus Norman,Francisco Costa,0.6240429970368278,1,1588.0305340315954,1500.0,1600.0611581264168,1487.9693759051786,1588.0305340315954,1500.0
2000-01-10,Hard,101320,102563,Magnus Gustafsson,Thomas Johansson,0.4770867993542468,1,1484.0671178508255,1500.0,1500.8003402714896,1483.266777579336,1484.0671178508255,1500.0
2000-01-10,Hard,102770,102162,John Van Lottum,Chris Woodruff,0.47612056546089043,1,1483.3942362542289,1500.0,1500.1583781594804,1483.2358580947484,1483.3942362542289,1500.0
2000-01-10,Hard,102607,102644,Juan Balcells,Franco Squillari,0.5041785869772424,1,1502.903647226638,1500.0,1518.7699324433663,1484.1337147832717,1502.903647226638,1500.0
2000-01-10,Hard,103252,102238,Alberto Martin,Alberto Berasategui,0.49787554365848596,1,1498.5237676504933,1500.0,1514.5917502534217,1483.9320173970716,1498.5237676504933,1500.0
2000-01-10,Hard,103507,103819,Juan Carlos Ferrero,Roger Federer,0.49808498758449143,1,1500.0730843968458,1501.4037778232891,1516.1343647941421,1485.3424974259929,1500.0730843968458,1501.4037778232891
2000-01-10,Hard,102998,101735,Jan Michael Gambill,Richard Fromberg,0.48190320301379824,1,1486.7493853093388,1499.3298231018227,1503.3284828128972,1482.7507255982644,1486.7493853093388,1499.3298231018227
2000-01-10,Hard,102021,101647,Michael Chang,Byron Black,0.569474484468912,1,1532.5901498634703,1484.0,1546.366966360465,1470.2231835030052,1532.5901498634703,1484.0
2000-01-10,Hard,101320,103066,Magnus Gustafsson,Mark Nielsen,0.5011517801992623,1,1500.8003402714896,1500.0,1516.7634833051131,1484.0368569663765,1500.8003402714896,1500.0
2000-01-10,Hard,102103,102765,Michael Sell,Nicolas Escude,0.4325823326830027,1,1484.8001864471694,1531.9338167652902,1502.9575518013132,1513.7764514111464,1484.8001864471694,1531.9338167652902
2000-01-10,Hard,102854,101964,Sjeng Schalken,Goran Ivanisevic,0.5448732520613023,1,1515.26525157861,1484.0,1529.8293075126485,1469.4359440659616,1515.26525157861,1484.0
2000-01-10,Hard,102494,103082,Tomas Behrend,Markus Hantschk,0.40412976398403133,1,1483.2959744553432,1550.7483166714835,1502.3638220078542,1531.6804691189725,1483.2959744553432,1550.7483166714835
2000-01-10,Hard,103292,102227,Gaston Gaudio,Sargis Sargsian,0.5249121770306854,1,1517.3250994544119,1500.0,1532.52790978943,1484.797189664982,1517.3250994544119,1500.0
2000-01-10,Hard,102562,102035,Jiri Novak,Jonas Bjorkman,0.4552706752858512,1,1468.8355688353406,1500.0,1486.2669072261933,1482.5686616091473,1468.8355688353406,1500.0
2000-01-10,Hard,101820,102950,Marc Rosset,Fernando Vicente,0.5279551127834389,1,1503.445480762701,1484.0,1518.550917153631,1468.89456360907,1503.445480762701,1484.0
2000-01-10,Hard,102563,102785,Thomas Johansson,Glenn Weiner,0.4759375592796661,1,1483.266777579336,1500.0,1500.0367756823866,1483.2300018969493,1483.266777579336,1500.0
2000-01-17,Hard,102450,103206,Tim Henman,Sebastien Grosjean,0.5140271352269108,1,1516.032274952924,1506.2826647498148,1531.5834066256627,1490.731533077076,1516.032274952924,1506.2826647498148
2000-01-17,Hard,102905,101917,Stefan Koubek,Grant Stafford,0.49921994503938766,1,1499.4579618562761,1500.0,1515.4829236150158,1483.9750382412603,1499.4579618562761,1500.0
2000-01-17,Hard,101792,102644,Slava Dosedel,Franco Squillari,0.5459911582096008,1,1516.1822343813262,1484.1337147832717,1530.710517318619,1469.605431845979,1516.1822343813262,1484.1337147832717
2000-01-17,Hard,101948,102286,Pete Sampras,Wayne Black,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-17,Hard,102271,102950,Hicham Arazi,Fernando Vicente,0.5230367856531314,1,1484.9135031191054,1468.89456360907,1500.176325978205,1453.6317407499703,1484.9135031191054,1468.89456360907
