player_name,rating,last_match
Hugo Nys,1505.9912518360843,2024-09-14
Matteo Gigante,1505.7956497332348,2024-05-06
Yshai Oliel,1505.7274525670866,2024-09-13
Dominic Thiem,1504.8235084374116,2024-10-21
Carlos Taberner,1504.200051238985,2024-04-15
Nerman Fatic,1503.8195976436564,2024-02-03
Hong Kit Jack Wong,1502.216246908757,2024-02-03
Alejandro Moro Canas,1501.1728726259971,2024-07-01
Chris Rodesch,1501.014518542535,2024-09-14
Stylianos Christodoulou,1500.2340894361407,2024-02-03
Hamid Reza Nadaf,1500.1149816916152,2024-03-15
Stefano Napolitano,1500.0681771982458,2024-07-15
Petros Tsitsipas,1498.9238054800965,2024-07-29
Alvaro Guillen Meza,1497.471316006677,2024-02-02
Juan Carlos Fuentes Vasquez,1497.3249513256828,2024-09-14
Emilio Gomez,1497.2435243489772,2024-02-02
Zachary Svajda,1497.1207352651747,2024-10-02
Sina Moghimi,1496.981584305264,2024-03-15
Federico Agustin Gomez,1496.494995772393,2024-09-18
Pedro Cachin,1495.736289733355,2024-07-15
Titouan Droguet,1495.66041517805,2024-11-04
Albert Ramos,1495.6212695502265,2024-08-26
Kyrian Jacquet,1495.5605237735942,2024-08-26
Francisco Cabral,1495.500961876126,2024-07-29
Gabi Adrian Boitan,1495.3928637306913,2024-09-13
Joaquin  Aguilar Cardozo ,1494.9349108845934,2024-09-13
Maks Kasnikowski,1492.0175707512162,2024-09-13
Stefanos Sakellaridis,1491.0547495338594,2024-01-01
Nicholas David Ionel,1490.9250957831102,2024-02-03
Adria Soriano Barrera,1490.3237948249498,2024-09-14
Nikolas Sanchez Izquierdo,1490.278803266519,2024-05-20
Seong Chan Hong,1489.7328269691263,2024-09-13
Rodrigo Pacheco Mendez,1489.4372999804664,2024-09-14
Hugo Grenier,1489.1574730128552,2024-08-26
Dino Prizmic,1488.9914054310307,2024-02-12
Adam Neff,1488.9231747776762,2024-02-05
Roman Andres Burruchaga,1488.9069055544603,2024-05-27
Heve Kelley,1488.62518727132,2024-02-02
Michael Agwi,1488.3127635805226,2024-09-13
Eliot Spizzirri,1487.0435386763675,2024-08-26
Javier Barranco Cosano,1486.9022618120935,2024-05-20
Yassine Dlimi,1486.5165166008878,2024-09-14
Darwin Blanch,1486.4128023337817,2024-04-22
Mark Lajal,1485.8812113135946,2024-09-13
Jan Choinski,1485.673271468589,2024-08-26
Henri Squire,1485.2134761711577,2024-09-14
Maxim Shin,1484.6786404041552,2024-02-02
Theo Papamalamis,1484.1428516573953,2024-11-04
Matthew Forbes,1484.1326039314572,2024-08-26
Chak Lam Coleman Wong,1484.0529980826873,2024-01-01
Federico Coria,1483.9800951655573,2024-08-26
Alan Fernando Rubio Fierros,1482.7546643050607,2024-09-14
N Sriram Balaji,1482.6059393445087,2024-09-14
Sebastian Fanselow,1482.3247019565738,2024-05-20
Amr Elsayed Abdou Ahmed Mohamed,1481.9373852255276,2024-09-13
Nick Hardt,1481.7962334192484,2024-07-15
Lucas Miedler,1481.0980042088981,2024-02-03
Yousaf Khalil,1480.4283732646145,2024-09-14
Osgar Ohoisin,1480.185923277565,2024-02-03
Joel Schwaerzler,1480.1526087327395,2024-10-21
Camilo Ugo Carabelli,1479.9287453873537,2024-08-26
Diego Schwartzman,1479.7872594163678,2024-08-26
Valentin Vacherot,1479.7105455411042,2024-05-27
Philip Henning,1478.7031474032374,2024-09-14
Tomas Barrios Vera,1478.6020973680338,2024-09-12
Oleksii Krutykh,1476.9977268736172,2024-09-13
Arthur Fery,1476.9898183925884,2024-07-01
Juan Carlos Prado Angelo,1475.315510986502,2024-02-03
Sumit Nagal,1474.8878416046011,2024-11-04
Diego Duran,1474.377318131159,2024-02-02
Antoine Escoffier,1474.1863166375988,2024-01-29
Aziz Dougaz,1473.995234210714,2024-09-13
Komlavi Loglo,1473.7164058488343,2024-02-03
Orel Kimhi,1473.254476576119,2024-02-03
Matteo Martineau,1472.7275993746603,2024-06-10
Siddharth Vishwakarma,1472.6833089285183,2024-09-14
