player_name,surface,rating,last_match
Sherif Sabry,Carpet,1485.3703805782027,2014-01-31
Ion Moldovan,Carpet,1485.3053317399892,2003-09-08
Guillaume Couillard,Carpet,1485.0238528493453,2009-07-10
Shao Xuan Zeng,Carpet,1484.9974667302663,2009-10-11
Paul Capdeville,Carpet,1484.9968067030634,2013-09-13
Jacob Rasolondrazana,Carpet,1484.9821389155156,2015-07-17
Fabio Fognini,Carpet,1484.945322331497,2024-11-04
Tai Wei Liu,Carpet,1484.9058947498456,2007-02-09
Roko Karanusic,Carpet,1484.8278640487829,2009-09-18
Ivan Miranda,Carpet,1484.797082746629,2011-07-08
Treat Conrad Huey,Carpet,1484.7776136059629,2015-03-06
Scott Barron,Carpet,1484.736306793522,2001-07-20
Hermes Gamonal,Carpet,1484.736306793522,2004-09-24
Elmar Gerth,Carpet,1484.736306793522,2003-04-04
Cesar Ramirez,Carpet,1484.736306793522,2014-04-04
Yuri Schukin,Carpet,1484.736306793522,2011-01-31
Antso Rakotondramanga,Carpet,1484.736306793522,2017-02-03
Rihards Emulins,Carpet,1484.7316961565868,2007-04-06
Irakli Ushangishvili,Carpet,1484.6977107666914,2005-07-15
Daniel Willman,Carpet,1484.674480937,2002-02-08
Mahmoud Ezz,Carpet,1484.6728874488665,2009-03-06
Anis Ghorbel,Carpet,1484.6687542058046,2016-03-04
Marko Tkalec,Carpet,1484.5543050971128,2008-07-18
Andrew Ilie,Carpet,1484.4852754773324,2003-07-28
Mikhail Ledovskikh,Carpet,1484.346333327995,2015-04-27
Magnus Norman,Carpet,1484.3358632551171,2003-09-22
Alexander Skrypko,Carpet,1484.2721346401586,2004-09-24
Dick Norman,Carpet,1484.2632724646878,2009-06-14
Lofo Ramiaramanana,Carpet,1484.2584265403211,2015-03-06
Timo Nieminen,Carpet,1484.1538252377754,2012-02-10
Tiago Godinho,Carpet,1484.148103144544,2002-09-20
Eero Vasa,Carpet,1484.0662576109798,2024-09-14
Andrei Ciumac,Carpet,1484.0636124010546,2015-03-06
Stefan Wauters,Carpet,1484.0366158176694,2006-04-07
Michael Leong,Carpet,1484.0339081301693,2012-02-10
Dovydas Sakinis,Carpet,1484.0339081301693,2013-04-05
Alex Obrien,Carpet,1484.0324213914694,2001-08-13
Edouard Roger Vasselin,Carpet,1484.0171747087554,2010-10-25
Diego Acuna,Carpet,1484.0000715851181,2004-02-06
Girts Dzelde,Carpet,1484.0,2000-07-21
Raimonds Sproga,Carpet,1484.0,2000-07-21
Andres Filimonov,Carpet,1484.0,2002-07-12
Ivo Lagzdins,Carpet,1484.0,2000-07-21
Hisham Hemeda,Carpet,1484.0,2000-07-21
Vasilly Kazhera,Carpet,1484.0,2000-07-21
Marwan Zewar,Carpet,1484.0,2000-07-21
Seung Hoon Lee,Carpet,1484.0,2001-04-06
Antonio Van Grichen,Carpet,1484.0,2001-04-06
Jonathan Printzlau,Carpet,1484.0,2002-07-12
Victor Ribas,Carpet,1484.0,2001-04-27
Davit Babayan,Carpet,1484.0,2001-04-27
Tigran Martirosyan,Carpet,1484.0,2001-07-20
Cristiano Caratti,Carpet,1484.0,2003-09-29
Jan Vacek,Carpet,1484.0,2008-06-09
Taso Vasiliadis,Carpet,1484.0,2002-04-05
Leroy Tujeehut,Carpet,1484.0,2003-02-07
Peit Hein Boekel,Carpet,1484.0,2003-02-07
Anton Tsymbalov,Carpet,1484.0,2006-09-22
William Lock,Carpet,1484.0,2006-07-21
Jean Nabi,Carpet,1484.0,2003-04-04
Mohammed Fawzy,Carpet,1484.0,2003-07-11
Wahib Maknieh,Carpet,1484.0,2006-02-10
Fadi Youssef,Carpet,1484.0,2004-02-06
Janis Skroderis,Carpet,1484.0,2005-07-15
Amro Ghoneim,Carpet,1484.0,2004-04-09
Oskar Saarne,Carpet,1484.0,2005-03-04
Sanchai Ratiwatana,Carpet,1484.0,2010-09-17
Tobias Clemens,Carpet,1484.0,2006-10-23
Brett Baudinet,Carpet,1484.0,2007-02-09
George Khrikadze,Carpet,1484.0,2009-07-10
Juan Sebastian Langton,Carpet,1484.0,2012-04-06
West Nott,Carpet,1484.0,2011-07-08
George Chantouria,Carpet,1484.0,2007-04-06
Carlos Salamanca,Carpet,1484.0,2013-07-15
Dmitriy Makeyev,Carpet,1484.0,2007-04-06
Matt Simpson,Carpet,1484.0,2007-04-06
Dawid Olejniczak,Carpet,1484.0,2008-06-23
Pavel Vizner,Carpet,1484.0,2008-02-08
